Vaisala Hum,SGS Temp,SGS RAW
53.6,25.2,56617
53.5,25.3,56617
53.5,25.3,56616
53.4,25.3,56615
53.4,25.3,56615
53.3,25.3,56614
53.3,25.2,56614
53.2,25.2,56614
53.2,25.1,56615
53.1,25.2,56614
53.1,25.3,56614
53.1,25.3,56614
53,25.3,56613
53,25.2,56613
52.9,25.3,56613
52.9,25.2,56613
52.8,25.3,56612
52.8,25.2,56612
52.7,25.2,56611
52.7,25.2,56611
52.6,25.2,56610
52.6,25.3,56610
52.5,25.3,56610
52.4,25.3,56610
52.4,25.2,56610
52.4,25.2,56610
52.3,25.2,56609
52.3,25.2,56609
52.2,25.2,56608
52.1,25.3,56608
52.1,25.3,56607
52,25.3,56607
52,25.3,56606
51.9,25.3,56606
51.8,25.3,56605
51.8,25.3,56604
51.7,25.3,56604
51.6,25.3,56603
51.5,25.3,56603
51.4,25.3,56603
51.4,25.3,56602
51.3,25.2,56602
51.3,25.2,56601
51.2,25.2,56601
51.2,25.3,56601
51.1,25.3,56600
51.1,25.3,56600
51,25.2,56599
50.9,25.1,56599
50.9,25.2,56599
50.8,25.2,56599
50.8,25.3,56598
50.8,25.3,56598
50.7,25.3,56597
50.7,25.3,56597
50.6,25.2,56597
50.5,25.3,56597
50.5,25.3,56597
50.5,25.3,56597
50.5,25.3,56597
50.4,25.2,56596
50.4,25.3,56596
50.3,25.2,56596
50.3,25.3,56595
50.2,25.2,56594
50.2,25.2,56594
50.2,25.2,56593
50.1,25.2,56593
50.1,25.3,56592
50.1,25.3,56591
49.9,25.2,56591
49.8,25.2,56590
49.8,25.1,56590
49.7,25.1,56590
49.6,25.3,56589
49.6,25.3,56588
49.5,25.3,56588
49.4,25.3,56587
49.4,25.3,56587
49.3,25.3,56587
49.3,25.3,56587
49.2,25.3,56587
49.2,25.3,56586
49.2,25.3,56587
49.1,25.2,56587
49.1,25.3,56587
49.1,25.3,56586
49.1,25.3,56586
49,25.2,56586
49,25.2,56586
49,25.2,56586
49,25.2,56585
48.9,25.2,56585
48.9,25.3,56585
48.9,25.3,56585
48.9,25.3,56585
48.9,25.3,56585
48.9,25.4,56584
48.9,25.4,56584
48.9,25.4,56584
48.8,25.3,56583
48.8,25.2,56584
48.8,25.2,56584
48.8,25.3,56583
48.7,25.3,56582
48.7,25.3,56582
48.7,25.2,56582
48.6,25.1,56582
48.6,25.1,56582
48.5,25.2,56581
48.5,25.3,56580
48.4,25.3,56581
48.4,25.3,56580
48.3,25.2,56579
48.3,25.2,56578
48.2,25.3,56577
48.2,25.3,56577
48.2,25.3,56577
48,25.3,56576
48,25.3,56575
47.9,25.3,56575
47.8,25.3,56574
47.8,25.2,56574
47.7,25.2,56573
47.6,25.2,56573
47.6,25.2,56572
47.5,25.2,56571
47.5,25.3,56569
47.3,25.3,56569
47.3,25.3,56567
47.2,25.3,56566
47.2,25.3,56566
47.1,25.3,56567
47,25.4,56565
47,25.4,56565
47,25.2,56565
46.9,25.3,56566
46.9,25.2,56567
46.8,25.3,56568
46.8,25.2,56567
46.8,25.3,56568
46.8,25.3,56568
46.8,25.3,56568
46.8,25.3,56568
46.8,25.4,56568
46.8,25.3,56567
46.8,25.3,56567
46.8,25.2,56566
46.8,25.3,56566
46.7,25.3,56566
46.7,25.3,56566
46.7,25.3,56567
46.7,25.3,56566
46.7,25.3,56566
46.6,25.3,56565
46.6,25.3,56564
46.6,25.3,56564
46.6,25.3,56564
46.6,25.3,56563
46.5,25.2,56563
46.5,25.3,56564
46.5,25.3,56565
46.5,25.3,56565
46.5,25.3,56565
46.5,25.3,56566
46.5,25.3,56565
46.5,25.3,56564
46.5,25.3,56565
46.5,25.3,56565
46.5,25.2,56564
46.5,25.2,56564
46.5,25.2,56565
46.5,25.3,56565
46.5,25.3,56564
46.5,25.3,56564
46.5,25.3,56564
46.5,25.3,56565
46.4,25.3,56563
46.4,25.3,56564
46.4,25.4,56563
46.3,25.4,56562
46.3,25.3,56562
46.3,25.2,56561
46.3,25.3,56561
46.2,25.3,56562
46.2,25.3,56563
46.2,25.3,56561
46.2,25.3,56561
46.2,25.3,56560
46.2,25.3,56561
46.2,25.2,56560
46.2,25.3,56560
46.1,25.3,56560
46.1,25.3,56561
46.1,25.3,56559
46.1,25.2,56558
46.1,25.1,56558
46,25.1,56559
46,25.2,56558
46,25.3,56557
46,25.3,56557
45.9,25.2,56557
45.9,25.3,56557
45.9,25.2,56556
45.7,25.2,56555
45.7,25.2,56553
45.7,25.2,56554
45.6,25.2,56553
45.6,25.2,56553
45.5,25.2,56551
45.5,25.3,56550
45.5,25.3,56549
45.4,25.3,56549
45.4,25.3,56549
